id,front,back,status,tags
12,"Which of the following should be performed in a male neonate in whom prolonged bleeding from the heel occurs after taking blood drop for screening tests and a hematoma develops after intramuscular administration of vitamin K? 1) examination of the clotting system in order to exclude coagulopathy, e.g. hemophilia; 2) intravenous administration of vitamin K; 3) administration of fresh frozen plasma; 4) taking family history in relation to hemophilia or other coagulopathies occurring in family members; 5) there is no need for further diagnostics","Answer: B: 1,4 Caveat: Legacy A adds empiric IV vitamin K and FFP as universal steps. In a male neonate bleeding despite prophylactic vitamin K, the key first diagnostic actions are coagulation testing and a haemophilia/family history; replacement therapy depends on the demonstrated defect and bleeding severity. Explanation: Prolonged bleeding after heel stick/IM vitamin K in a male neonate should trigger a coagulation work-up and family history for haemophilia; vitamin K is not the treatment for factor VIII/IX deficiency.",caveat/updated,pediatrics leks 2026 caveat_updated
13,"What is the optimal procedure after the contact of a pregnant woman in the third trimester with a child, who was diagnosed on the day of the contact (upon clinical course, typical skin manifestations) with erythema infectiosum (the fifth disease)? The child is ( EXCEPT for erythema) generally healthy, has no comorbidities","Answer: INVALID / OUTDATED - do not memorize the legacy key Caveat: The child with fifth disease is most infectious before the rash, so isolating the pregnant contact after rash recognition is not the key intervention. Current management after confirmed exposure is maternal B19 IgG/IgM testing, with fetal surveillance if recent infection is documented; no option states that cleanly. Explanation: CURRENT APPROACH: do not rely on isolating a pregnant contact after the child develops erythema infectiosum, because infectivity precedes the rash. After confirmed exposure, maternal parvovirus B19 IgG/IgM testing should be considered; recent maternal infection warrants fetal surveillance for anaemia/hydrops.",invalid/outdated,pediatrics leks 2026 invalid_outdated
14,The incidence of allergic diseases is continuously growing. The basic diagnostic tool for them is:,Answer: D: skin prick test Explanation: Skin-prick testing is a core tool for IgE-mediated allergy assessment when the history suggests an allergic trigger; test results must be interpreted in clinical context.,valid,pediatrics leks 2026 valid
15,A positive direct Coombs test in a patient diagnosed with haemolysis suggests: 1) ABO haemolytic disease of the newborn; 2) Rh D haemolytic disease of the newborn; 3) hemoglobinopathy; 4) atypical haemolytic-uremic syndrome; 5) spherocytosis,"Answer: A: 1,2 Explanation: A positive direct antiglobulin (Coombs) test supports immune haemolysis, classically ABO or Rh haemolytic disease of the newborn; hereditary spherocytosis and haemoglobinopathies are Coombs-negative.",valid,pediatrics leks 2026 valid
16,"Craniotabes (softening and thinning of occipital and parietal bones) may be observed in the following disorders, EXCEPT for:",Answer: D: Ehlers-Danlos syndrome Explanation: Craniotabes can occur with metabolic bone disease or skeletal fragility. Ehlers-Danlos syndrome is not a classic cause.,caveat/updated,pediatrics leks 2026 caveat_updated
17,Indicate the FALSE statement concerning respiratory function tests in children:,"Answer: INVALID / OUTDATED - do not memorize the legacy key Caveat: The item mixes an old adult bronchodilator-response threshold (12% + 200 mL) with paediatric spirometry feasibility. More than one statement becomes problematic under current paediatric interpretation, so a single false choice is unsafe. Explanation: OUTDATED/MULTIPLE-ISSUE ITEM: spirometry is generally feasible from about age 5-6 when the child can perform acceptable manoeuvres. In children, bronchodilator responsiveness is interpreted using age-appropriate criteria; the adult “12% AND 200 mL” rule should not be transplanted unchanged.",invalid/outdated,pediatrics leks 2026 invalid_outdated
18,The symptoms of cystic fibrosis include:,"Answer: E: all of the above Explanation: Cystic fibrosis combines chronic/recurrent sinopulmonary disease, pancreatic insufficiency with steatorrhoea, chronic cough and poor weight gain.",caveat/updated,pediatrics leks 2026 caveat_updated
19,A palpable tumor visible on the neonate’s head over the left parietal bone is most probably caused by:,Answer: B: cephalohematoma Explanation: Cephalohaematoma is subperiosteal blood: it is firm/palpable over a skull bone and does NOT cross suture lines. Caput succedaneum is superficial oedema and can cross sutures.,caveat/updated,pediatrics leks 2026 caveat_updated
20,Hepatitis A (anti-HAV IgM) IgM antibodies in children:,Answer: B: appear 18 to 40 days after infection and persist for 4-6 months Explanation: Anti-HAV IgM appears around symptom onset after the incubation period and generally persists for several months; the 18-40 day appearance window with persistence for roughly 4-6 months best fits the offered choices.,caveat/updated,pediatrics leks 2026 caveat_updated
21,"In a 7-year-old child, suffering from asthma treated with inhaled glucocorticoids, after a trip to the woods the aggravation of the disease occurred in the form of increasing dyspnea, cough and wheezing. The parents administered an additional dose of short- acting β -mimetic. The next step in this situation should be:","Answer: INVALID / OUTDATED - do not memorize the legacy key Caveat: The legacy choice “double the inhaled steroid” is not a universal next step for an acute exacerbation. Current care is severity/response based with repeated reliever therapy, oxygen when hypoxaemic and systemic corticosteroid for significant attacks; the offered options do not map cleanly. Explanation: OUTDATED ACUTE-ASTHMA OPTIONS: after reliever treatment, assess severity and response, give repeated inhaled bronchodilator as needed, oxygen for hypoxaemia and systemic corticosteroid for a significant exacerbation. Do not simply “double the ICS” as the universal next step.",invalid/outdated,pediatrics leks 2026 invalid_outdated
22,"When, after streptococcal infection, do the symptoms of rheumatic fever appear?",Answer: C: 3-4 weeks after the infection is over Explanation: Acute rheumatic fever usually begins about 2-4 weeks after group A streptococcal pharyngitis.,caveat/updated,pediatrics leks 2026 caveat_updated
23,The symptoms of asthma in children are:,"Answer: E: all of the above Explanation: Typical asthma symptoms include variable wheeze, cough, expiratory dyspnoea/shortness of breath and chest tightness.",caveat/updated,pediatrics leks 2026 caveat_updated
24,Beckwith-Wiedemann syndrome is associated with an increased risk of developing:,"Answer: C: Wilms tumor and hepatoblastoma Explanation: Beckwith-Wiedemann syndrome increases the risk of embryonal tumours, especially Wilms tumour and hepatoblastoma.",caveat/updated,pediatrics leks 2026 caveat_updated
25,"Meningitis in children is a life-threatening condition, therefore, in the case of bacterial etiology, antibiotic therapy must be implemented as soon as possible; optimally after collecting materials for microbiological examination (CSF, blood, other materials). The maximum time to administer antibiotic is: 1) up to 3 hours from the patient's first contact with medical care; 2) up to 1 hour if the patient is in the hospital ward; 3) to 30 minutes if the patient is in the hospital ward and meningococcal etiology is suspected",Answer: E: only 2 Caveat: Legacy A accepts a 3-hour ceiling and a special 30-minute meningococcal ceiling. Current guidance uses a single hospital priority: IV antibiotics as soon as bacterial meningitis is suspected and within 1 hour of arrival. Thus only statement 2 is current -> E. Explanation: Suspected bacterial meningitis is an emergency. Current hospital guidance is IV antibiotics as soon as suspected and within 1 hour of arrival; blood samples and LP come first only if safe and they do not cause a clinically significant delay.,caveat/updated,pediatrics leks 2026 caveat_updated
26,The complications of ketoacidosis include: 1) cerebral edema; 2) anuria; 3) acute pancreatitis; 4) gastrointestinal bleeding; 5) hypovolemic shock,"Answer: E: all the above Caveat: Legacy A includes only cerebral oedema and anuria. Paediatric DKA may also be complicated by pancreatitis, gastrointestinal bleeding and hypovolaemic shock, so the complete offered set is E. Explanation: DKA complications can include cerebral oedema, kidney injury/oliguria, pancreatitis, GI bleeding and hypovolaemic shock. Cerebral injury is the feared paediatric complication.",caveat/updated,pediatrics leks 2026 caveat_updated
27,Which of the following are observed in the course of iron deficiency anemia? 1) decreased total iron binding capacity; 2) decreased mean corpuscular hemoglobin concentration; 3) decreased percentage of the erythroblastic cells in marrow; 4) red cell poikilocytosis; 5) megaloblastic erythropoiesis in marrow,"Answer: C: 2,4 Caveat: Legacy A incorrectly includes megaloblastic erythropoiesis. Iron deficiency is microcytic/hypochromic with poikilocytosis; TIBC is increased, not decreased, and marrow is not megaloblastic. True statements are 2 and 4 -> C. Explanation: Iron deficiency anaemia is microcytic/hypochromic: low MCH/MCHC and anisopoikilocytosis. TIBC rises (not falls) and marrow is not megaloblastic.",caveat/updated,pediatrics leks 2026 caveat_updated
28,"In a 12-year-old patient with type 1 diabetes mellitus, treated with a personal insulin pump, hypoglycaemia occurs. It could be caused by: 1) overdose of long-acting insulin; 2) taking too high bolus dose at a meal; 3) eating less food than planned; 4) additional physical activity","Answer: B: 2,3,4 Caveat: Legacy A assumes long-acting insulin is being used in a pump. Pumps deliver rapid-acting insulin; excessive bolus, eating less than planned and extra exercise can all cause hypoglycaemia -> B. Explanation: An insulin pump uses rapid-acting insulin; hypoglycaemia can follow an excessive meal bolus, eating less than planned or unexpected exercise - not an overdose of long-acting insulin that is not being used.",caveat/updated,pediatrics leks 2026 caveat_updated
29,"A 12-year-old girl was admitted to the ward because of an acute paroxysmal abdominal pain located in the epigastrium and the right subcostal region, radiating to the right side, that appeared the previous morning. The laboratory test showed: ALT 278 U/L, AST 47 U/L, GGTP 178 IU/L, lipase 167 IU/L, amylase 248 mg%, direct bilirubin 2.06 mg%, indirect bilirubin 1.02 mg%. The most probable diagnosis is:",Answer: B: gallstones Explanation: RUQ/epigastric colic with cholestatic enzymes and direct hyperbilirubinaemia points to gallstone/biliary disease.,caveat/updated,pediatrics leks 2026 caveat_updated
30,Which antipyretic may be given to a 2-month-old child?,"Answer: D: 0.75 mL of paracetamol suspension (100 mg/1 mL), i.e. 15 mg/kg/dose Explanation: At 2 months, paracetamol can be used at an age/weight-appropriate dose. Ibuprofen is generally avoided in infants under 3 months unless specifically directed. Q31-Q60",caveat/updated,pediatrics leks 2026 caveat_updated
31,The most common causes of lower gastrointestinal tract bleeding in infants are: 1) Schoenlein-Henoch disease; 2) anal fistula; 3) food allergy; 4) inflammatory bowel diseases; 5) intussusception,"Answer: INVALID / OUTDATED - do not memorize the legacy key Caveat: The source omits option A and uses “anal fistula” where an anal fissure is the usual infant bleeding diagnosis. Because the answer set cannot be reconstructed reliably, do not memorize the legacy key. Explanation: SOURCE LAYOUT ERROR: option A is missing and the stem says “anal fistula,” likely where “anal fissure” was intended. In infants, common lower-GI bleeding causes include anal fissure and cow-milk-protein allergic proctocolitis; intussusception is an important acute cause.",invalid/outdated,pediatrics leks 2026 invalid_outdated
32,Polyuria with hypostenuria is typical of:,Answer: D: diabetes insipidus Explanation: Exam anchor: diabetes insipidus. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
33,A GP diagnosed pertussis in a mother of a 3-week-old neonate. What is the correct management in this case?,"Answer: B: child should be given azithromycin for 5 days Explanation: Pertussis is treated and close-contact prophylaxis is given with a macrolide, commonly azithromycin; young infants are at highest risk of severe disease.",valid,pediatrics leks 2026 valid
34,"Parents present to the GP a 6-week-old infant, born in February 2017, for vaccinations. Indicate the correct management concerning the immunisation against invasive pneumococcal disease (IPD) taking into consideration that the child was born at 36 week of gestation and the birth weight was 2100 g:",Answer: C: the child can be vaccinated against IPD within the frame of mandatory vaccinations (free of charge) using the schedule: three doses of primary immunisations and one booster dose Explanation: A preterm infant (<37 weeks) belongs to the higher-risk pneumococcal schedule in the Polish programme; the 3-dose primary series plus booster (3+1) is the tested answer.,caveat/updated,pediatrics leks 2026 caveat_updated
35,Parents present to a pediatrician their 7-year-old child born abroad and NEVER vaccinated against Haemophilus influenzae type b for deciding about the completion of the vaccination. Indicate the correct decision of the doctor:,Answer: E: there is no indication to vaccinate a 7-year old child against Haemophilus influenzae type b Explanation: Routine Hib catch-up is not indicated for an otherwise healthy 7-year-old simply because the primary series was missed; older children are vaccinated only for defined risk indications.,caveat/updated,pediatrics leks 2026 caveat_updated
36,The well-child visit schedule up to 12 months of life should include:,"Answer: INVALID / OUTDATED - do not memorize the legacy key Caveat: The current Polish preventive-examination schedule does not match any offered visit count/sequence; patronage visits and preventive health examinations are also not interchangeable. Treat the item as dated. Explanation: CURRENT POLISH PREVENTIVE CARE: first-year health checks include the newborn/“zero” assessment and preventive assessments around 1-4 weeks, 2-6 months, 9 months and 12 months; patronage visits are a separate midwife service. None of the listed schedules matches cleanly.",invalid/outdated,pediatrics leks 2026 invalid_outdated
37,The alarming symptoms of gastroesophageal reflux disease in children include: 1) swallowing disturbances; 2) diarrhea; 3) attacks of cough and dyspnea at night; 4) constipation; 5) weight loss,"Answer: C: 1,3,5 Caveat: Legacy A omits weight loss, an important alarm feature. C best captures dysphagia + nocturnal respiratory symptoms + weight loss, but current GERD “red flag” terminology is broader and chronic diarrhoea can signal an alternative diagnosis, so retain the caveat. Explanation: Paediatric GERD alarm features include dysphagia, nocturnal respiratory symptoms and weight loss/failure to thrive; these prompt evaluation for complications or another diagnosis.",caveat/updated,pediatrics leks 2026 caveat_updated
38,WHICH OF THE FOLLOWING IS NOT an indication for the histopathological examination of an enlarged lymph node in a child?,"Answer: D: neck lymph node enlargement lasting for a week, accompanying pharyngitis Explanation: A node enlarged for only about a week during acute pharyngitis is usually reactive and is not, by itself, an indication for histopathology. Supraclavicular nodes, B symptoms, suspicious ultrasound or progressive painless enlargement are red flags.",caveat/updated,pediatrics leks 2026 caveat_updated
39,The most common cause of food allergy in infants is:,Answer: C: cow's milk proteins Explanation: Cow’s-milk protein is the most common food allergen in infancy.,caveat/updated,pediatrics leks 2026 caveat_updated
40,The symptoms characteristic of streptococcal tonsillitis are:,"Answer: D: fever, severe sore throat, abdominal pain, vomiting Explanation: GAS tonsillopharyngitis often causes abrupt fever, severe sore throat, tender anterior cervical nodes and tonsillar exudate; abdominal pain/vomiting are common in children, while cough/coryza favour viral disease.",caveat/updated,pediatrics leks 2026 caveat_updated
41,WHICH OF THE FOLLOWING IS NOT a criterion necessary to diagnose growing pains in children (according to Peterson and Mellson)?,"Answer: D: positive family history of growing pains Explanation: A positive family history is not required for growing pains. Typical pain is bilateral lower-limb pain, evening/night predominance, normal examination/labs, and no morning symptoms.",caveat/updated,pediatrics leks 2026 caveat_updated
42,A seven-year-old girl visited her friend suffering from measles. The boy had had a rash for 6 days. What post-exposure prophylaxis should be performed in the girl?,"Answer: E: none, there is no need for a post-exposure prophylaxis Explanation: The measles case was already on rash day 6 at the visit. Typical infectivity ends after rash day 4 in an immunocompetent person, so this encounter is outside the usual infectious window.",caveat/updated,pediatrics leks 2026 caveat_updated
43,Which of the following is the most common cause of blindness in children in Poland?,Answer: C: retinopathy of prematurity Explanation: Classic LEK/Poland teaching: retinopathy of prematurity is a major cause of childhood visual impairment/blindness; remember prematurity and oxygen exposure as key risk factors.,caveat/updated,pediatrics leks 2026 caveat_updated
44,Hypoparathyroidism occurs in the following diseases EXCEPT for:,Answer: E: CaSR inactivating mutation Explanation: An inactivating CaSR mutation causes familial hypocalciuric hypercalcaemia / neonatal severe hyperparathyroidism - not hypoparathyroidism. Activating CaSR mutations cause hypocalcaemia.,valid,pediatrics leks 2026 valid
45,Risk factors for urolithiasis DO NOT include:,"Answer: D: hypermagnesuria Explanation: Stone risks include hypercalciuria, hyperoxaluria, hyperuricosuria and hypocitraturia. Magnesium complexes oxalate and is generally protective rather than a classic “hypermagnesuria” risk.",valid,pediatrics leks 2026 valid
46,"While riding a bike, a teenage boy treated with insulin for type 1 diabetes suddenly felt weakness, heart palpitations and a tremor in his hands. What should he do first of all?","Answer: B: drink 200 mL of juice Explanation: Exercise-associated adrenergic symptoms in a child with type 1 diabetes = treat suspected hypoglycaemia first with fast carbohydrate, such as juice; recheck glucose after about 15 minutes.",valid,pediatrics leks 2026 valid
47,"Which of the following statements concerning food challenge test (FCT), regarded as a valuable diagnostic tool in food allergy, is FALSE ?",Answer: E: usually at least two food allergens are applied simultaneously in the food challenge test Explanation: Oral food challenge tests one suspected food at a time under supervision; DBPCFC is the diagnostic gold standard when needed. Simultaneously challenging with multiple allergens defeats attribution of the reaction.,caveat/updated,pediatrics leks 2026 caveat_updated
48,Indicate the FALSE statement concerning the second heart sound splitting in children:,"Answer: INVALID / OUTDATED - do not memorize the legacy key Caveat: More than one statement is false: physiologic S2 splitting varies with respiration; ASD classically causes fixed splitting, while pulmonary stenosis causes wide splitting rather than the stated fixed pattern. One false choice cannot be isolated cleanly. Explanation: INVALID: normal S2 splitting widens with inspiration; a fixed split is classic for ASD. Pulmonary stenosis causes a wide split, and several offered statements are not cleanly correct, so there is more than one false statement.",invalid/outdated,pediatrics leks 2026 invalid_outdated
49,Chronic fatigue syndrome is a complication of:,Answer: A: infectious mononucleosis Explanation: EBV infectious mononucleosis can be followed by prolonged post-infectious fatigue.,valid,pediatrics leks 2026 valid
50,"The most probable diagnosis in a patient with recurrent infections, thrombocytopenic purpura (the onset in the first six months of live) and eczema (atopic dermatitis-type) is:",Answer: E: Wiskott-Aldrich syndrome Explanation: Exam anchor: Wiskott-Aldrich syndrome. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
51,The most common cause of hyperthyroidism in adolescents is:,Answer: B: Graves’ disease Explanation: Graves disease is the most common cause of hyperthyroidism in children and adolescents.,valid,pediatrics leks 2026 valid
52,A 10-year-old child with diabetes diagnosed one year ago was completely vaccinated against hepatitis B in the infancy. The parents ask whether the child needs the revaccination against hepatitis B due to the diabetes. Which is the right answer?,"Answer: A: the child does not need any further vaccinations against hepatitis B Caveat: Legacy B requires routine anti-HBs testing before deciding. An immunocompetent child who completed the HepB series does not need routine post-vaccination serology or boosters solely because of diabetes -> A. Explanation: CURRENT IMMUNIZATION PRINCIPLE: an immunocompetent child who completed a HepB series does not routinely need anti-HBs testing, boosters or revaccination solely because of diabetes.",caveat/updated,pediatrics leks 2026 caveat_updated
53,The respiratory rate in a normal active 2-year-old child should not exceed:,Answer: C: 40/min Explanation: Exam anchor: 40/min. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
54,Indicate the true statement concerning vesicoureteral reflux:,Answer: C: incidence of urinary tract infections is increased in children with this defect Explanation: Exam anchor: incidence of urinary tract infections is increased in children with this defect. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
55,A neonate is regarded as born prematurely if the pregnancy lasted less than:,Answer: E: 37 weeks or 259 days Explanation: Exam anchor: 37 weeks or 259 days. Retain this as the single best answer for the clinical fact tested in this stem.,caveat/updated,pediatrics leks 2026 caveat_updated
56,"Which of the following rise a suspicion of disturbances of the urea cycle in a neonate: 1) vomiting after the first feeding with proteins in a previously healthy neonate; 2) sudden loss of appetite, tremor, seizures, decreased muscle tone, sleepiness or coma in a previously healthy neonate; 3) agitation and generalized rigidity in a previously healthy neonate; 4) increased concentrations of ammonia in serum; 5) decreased concentrations of ammonia in serum","Answer: C: 1,2,4 Caveat: Legacy A substitutes agitation/rigidity for the more typical hyperammonaemic encephalopathy pattern. Protein-triggered vomiting, lethargy/seizures/hypotonia/coma and elevated ammonia are the key cluster -> 1,2,4 = C. Explanation: Urea-cycle defects: protein feeding can precipitate vomiting, encephalopathy/seizures/hypotonia and marked hyperammonaemia in a previously well neonate.",caveat/updated,pediatrics leks 2026 caveat_updated
57,"Apart from careful history taking, skin prick tests (SPT) are a crucial diagnostic tool in allergology. Indicate the true statements concerning SPT in children: 1) SPT IS NOT recommended in children younger than 3 years; 2) in the case of allergy to airborne allergens, the result of SPT in children strongly correlates with the clinical symptoms of the disease; 3) SPT indicate the presence of allergen-specific IgE on skin mast cells; 4) when IgE-mediated food allergy (e.g. to vegetables or fruit) is suspected, SPT with a native allergen may be performed; 5) size of erythema to specific…","Answer: INVALID / OUTDATED - do not memorize the legacy key Caveat: The source itself cuts off statement 5 (“size of erythema…”). Because the answer options refer to statement 5, the legacy A and any replacement combination are not auditable from the source. Explanation: The source does not support one defensible modern single-best answer; retain the corrected teaching point rather than memorizing the legacy key.",invalid/outdated,pediatrics leks 2026 invalid_outdated
58,Which of the following can be found in a child with somatotropic pituitary insufficiency (growth hormone deficit): 1) low birth-weight; 2) normal bone and dental age; 3) decreased rate of growth at the preschool age; 4) signs of increased intracranial pressure caused by a tumor (e.g. craniopharyngioma),"Answer: E: 3,4 Caveat: Legacy A says all statements are true, but congenital GH deficiency usually has normal birth size and bone/dental age becomes delayed. Growth deceleration and a mass effect from a lesion such as craniopharyngioma are defensible -> E. Explanation: Exam anchor: 3,4. Retain this as the single best answer for the clinical fact tested in this stem.",caveat/updated,pediatrics leks 2026 caveat_updated
59,"Indicate the true statements concerning the severe combined immunodeficiency (SCID): 1) it is a genetic disorder consisting in the absence or dysfunction of lymphocytes T that may be accompanied by the absence of lymphocytes B, NK or other cells of the hematologic system; 2) it is the most common type of primary immunodeficiency in children; 3) if left untreated it usually leads to death in the first year of life; 4) hematopoietic cell transplantation may result in permanent cure; 5) it may be radically treated by regular administration of immunoglobulins","Answer: B: 1,3,4 Caveat: Legacy A incorrectly calls SCID the most common primary immunodeficiency and omits untreated first-year mortality. SCID is a severe T-cell disorder; without definitive therapy it is often fatal in infancy, and HSCT can cure -> 1,3,4 = B. Explanation: Exam anchor: 1,3,4. Retain this as the single best answer for the clinical fact tested in this stem.",caveat/updated,pediatrics leks 2026 caveat_updated
60,"In a 6-month-old girl in a good general condition, the urine for urinalysis was collected into the bag specimen. On urinalysis, 10-20 leukocytes in the visual field were noticed, urine for culture was taken. What should the pediatrician do?","Answer: INVALID / OUTDATED - do not memorize the legacy key Caveat: A bag specimen is too contamination-prone to establish UTI by culture. The offered “mid-stream” repeat in a 6-month-old is not a dependable substitute for a properly collected catheter/SPA or feasible clean-catch specimen, leaving no clean single best option. Explanation: A urine-bag specimen is prone to contamination and cannot confirm UTI. In a stable infant with an abnormal screening urinalysis, obtain a properly collected specimen (catheter/SPA, or clean-catch when feasible) for urinalysis and culture before diagnosing UTI. Q61-Q90",invalid/outdated,pediatrics leks 2026 invalid_outdated
61,Acute pharyngitis in children 3-4 years of age:,Answer: C: is most often caused by viruses and does not require antibiotic therapy Explanation: Exam anchor: is most often caused by viruses and does not require antibiotic therapy. Retain this as the single best answer for the clinical fact tested in this stem.,caveat/updated,pediatrics leks 2026 caveat_updated
62,"A 7-year-old boy is under psychiatric care due to learning disabilities and behavioral problems. Recently, neurologic deterioration that includes hearing loss and visual deficits has been recognized. The plasma concentration of very long chain fatty acids is elevated. What is the probable diagnosis?",Answer: A: X-linked adrenoleukodystrophy Explanation: Exam anchor: X-linked adrenoleukodystrophy. Retain this as the single best answer for the clinical fact tested in this stem.,caveat/updated,pediatrics leks 2026 caveat_updated
63,Indicate the true statement concerning pneumonia in children:,"Answer: A: age < 6 months of a child with pneumonia is an indication for hospitalization Explanation: Pneumonia in a young infant, especially <6 months with significant symptoms, lowers the threshold for hospital assessment. Hypoxaemia thresholds are generally below 92-94%, not simply <95% in every guideline.",caveat/updated,pediatrics leks 2026 caveat_updated
64,Which of the following is the absolute CONTRAINDICATION to the gastric lavage in a child who ingested a toxic substance?,"Answer: D: ingestion of a corrosive agent, alkaline or acid one Explanation: Corrosive ingestion is an absolute reason not to perform gastric lavage because re-exposure can worsen oesophageal injury and aspiration risk.",caveat/updated,pediatrics leks 2026 caveat_updated
65,"The cerebrospinal fluid test performed in a 15-year-old child showed: cell count 420 /µL, 86% lymphocytes, erythrocytes 3/µL, glucose concentration 61 mg/dL, protein concentration 46 mg/dL, chloride ion concentration 122 mmol/L. The result is characteristic of:",Answer: C: viral meningitis Explanation: Exam anchor: viral meningitis. Retain this as the single best answer for the clinical fact tested in this stem.,caveat/updated,pediatrics leks 2026 caveat_updated
66,The incubation period of hepatitis A in children is:,Answer: D: 15-40 days Explanation: HAV is faeco-oral with an incubation of roughly 2-6 weeks; anti-HAV IgM indicates acute/recent infection.,caveat/updated,pediatrics leks 2026 caveat_updated
67,Indicate the true statement concerning Credé method:,Answer: C: is based on the instillation of a 1% solution of silver nitrate into each eye Explanation: Credé prophylaxis is a historical ophthalmia-neonatorum method using 1% silver nitrate. Modern prophylaxis varies by country and usually uses an antibiotic ointment rather than silver nitrate.,caveat/updated,pediatrics leks 2026 caveat_updated
